City,lat,lon
Charleville-Mézières,49.7719,4.7161
Joinville,-26.3204,-48.8437
Nevers,46.9933,3.1572
Lyon,45.76,4.84
Gaillac,43.9014,1.8992
Bagnères-de-Bigorre,43.065,0.1506
Pornic,47.1167,-2.1
Ville-d'Avray,48.8261,2.1933
Luxembourg City,49.61167,6.13194
Metz,49.12028,6.17778
Soissons,49.3817,3.3236
Forges-les-Eaux,49.6133,1.5456
Bagnoles-de-l'Orne,48.5497,-0.4236
Saint-Martin-de-Landelles,48.5467,-1.1708
Lanester,47.7647,-3.3422
Bazas,44.4328,-0.2106
Lodève,43.7325,3.3203
Les Deux Alpes,45.00722,6.12167
Aime,45.5561,6.6494
Cluses,46.0611,6.5794
Régnié-Durette,46.1386,4.6419
Melun,48.5406,2.66
Saint-Omer,50.7461,2.2617
Calais,50.94806,1.85639
Verdun,49.162,5.3876
Commercy,48.7619,5.5926
Aix-les-Bains,45.6885,5.9153
Perpignan,42.6986,2.8956
Brive-la-Gaillarde,45.1583,1.5321
Montluçon,46.3408,2.6033
Orléans,47.9025,1.909
Futuroscope,46.66917,0.36889
Loudun,47.0106,0.0844
Nantes,47.2181,-1.5528
Agen,44.2049,0.6212
Carpentras,44.0558,5.0489
Avignon,43.95,4.8075
Draguignan,43.5403,6.4667
Évian-les-Bains,46.3833,6.5833
Lausanne,46.51983,6.6335
Freiburg,47.995,7.85
Le Puy du Fou,46.89334,-0.932068
Avesnes-sur-Helpe,50.1244,3.9267
Sestrières,44.95,6.883
Saint-Galmier,45.5908,4.3181
Jonzac,45.4467,-0.4336
Arpajon,48.5901,2.2476
Dublin,53.35,-6.26028
Enniscorthy,52.502064,-6.565876
Roscoff,48.733333,-3.983333
Plouay,47.9156,-3.3339
La Châtre,46.5831,1.9878
Meyrignac-l'Église,45.4017,1.8525
Montauban,44.0181,1.3558
Tarascon-sur-Ariège,42.8483,1.606
Frontignan la Peyrade,43.4483,3.7561
Vizille,45.0756,5.7732
La Chaux-de-Fonds,47.10278,6.83
